Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NIFTY,07-Aug-2026,11-Aug-2026,CE,24600.00,118.00,156.75,93.35,111.45,109.65,111.45,4743018.00,76213041.90,372184.08,11981450.00,6448520.00,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,CE,22550.00,-,-,-,2006.75,-,2035.60,-,-,-,-,-,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,CE,25950.00,0.65,0.80,0.60,0.70,0.70,0.70,37519.00,632868.31,16.58,907920.00,164645.00,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,CE,22800.00,-,-,-,1690.00,1690.00,1785.76,-,-,-,3640.00,-,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,CE,24150.00,474.60,507.45,410.95,462.85,463.10,462.85,2704.00,43246.15,800.11,52975.00,-14950.00,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,CE,23450.00,-,-,-,1104.55,1104.55,1136.62,-,-,-,390.00,-,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,CE,22900.00,1752.70,1752.70,1752.70,1752.70,1752.70,1685.83,1.00,16.02,1.14,195.00,-65.00,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,CE,26400.00,0.60,0.65,0.45,0.55,0.50,0.55,8762.00,150358.98,3.06,152035.00,48230.00,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,CE,24000.00,632.00,650.45,552.90,608.15,609.90,608.15,14712.00,235224.95,5717.75,650520.00,-75335.00,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,CE,22850.00,-,-,-,1730.10,-,1735.80,-,-,-,-,-,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,CE,23950.00,672.80,700.75,605.05,658.40,662.60,658.40,450.00,7195.42,190.04,27885.00,-8320.00,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,CE,22600.00,-,-,-,1959.95,-,1985.63,-,-,-,-,-,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,CE,26350.00,0.70,0.70,0.50,0.60,0.55,0.60,3466.00,59365.23,1.31,77480.00,27885.00,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,CE,22050.00,-,-,-,2485.45,-,2535.26,-,-,-,-,-,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,CE,25500.00,1.50,2.30,1.35,1.55,1.35,1.55,937686.00,15543240.80,1095.35,9725885.00,2980510.00,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,CE,26450.00,0.35,0.65,0.35,0.55,0.45,0.55,2354.00,40471.97,0.82,43745.00,18395.00,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,CE,25650.00,1.15,1.55,0.90,1.05,1.00,1.05,77822.00,1297547.59,60.30,1641770.00,211705.00,24570.65
NIFTY,07-Aug-2026,18-Aug-2026,CE,22350.00,-,-,-,1866.60,-,2261.44,-,-,-,-,-,24570.65
NIFTY,07-Aug-2026,18-Aug-2026,CE,24050.00,603.00,609.70,575.00,605.10,604.70,605.10,9.00,144.21,3.52,3510.00,520.00,24570.65
NIFTY,07-Aug-2026,18-Aug-2026,CE,24550.00,249.90,272.55,206.40,230.55,233.60,230.55,23808.00,383469.70,3553.54,363025.00,271700.00,24570.65
NIFTY,07-Aug-2026,18-Aug-2026,CE,25800.00,2.80,3.85,2.65,3.00,2.85,3.00,17673.00,296413.11,36.90,559910.00,308815.00,24570.65
NIFTY,07-Aug-2026,18-Aug-2026,CE,22450.00,-,-,-,1774.75,-,2161.68,-,-,-,-,-,24570.65
NIFTY,07-Aug-2026,18-Aug-2026,CE,26850.00,0.80,1.20,0.70,0.85,1.20,0.85,46.00,802.84,0.03,4355.00,650.00,24570.65
NIFTY,07-Aug-2026,18-Aug-2026,CE,23550.00,-,-,-,1118.30,1118.30,1082.70,-,-,-,585.00,-,24570.65
NIFTY,07-Aug-2026,18-Aug-2026,CE,24750.00,140.00,164.50,117.00,130.25,132.85,130.25,12953.00,209548.90,1167.51,272155.00,135200.00,24570.65
NIFTY,07-Aug-2026,18-Aug-2026,CE,22650.00,-,-,-,1595.05,-,1962.31,-,-,-,-,-,24570.65
NIFTY,07-Aug-2026,18-Aug-2026,CE,22150.00,-,-,-,2053.60,-,2461.02,-,-,-,-,-,24570.65
NIFTY,07-Aug-2026,18-Aug-2026,CE,22850.00,-,-,-,1421.60,-,1763.38,-,-,-,-,-,24570.65
NIFTY,07-Aug-2026,18-Aug-2026,CE,25550.00,6.60,8.15,5.50,6.00,5.90,6.00,12101.00,201015.87,48.51,165750.00,-47320.00,24570.65
NIFTY,07-Aug-2026,18-Aug-2026,CE,25700.00,4.00,5.15,3.50,3.80,3.60,3.80,20368.00,340303.69,56.25,775190.00,343135.00,24570.65
NIFTY,07-Aug-2026,18-Aug-2026,CE,22250.00,-,-,-,1959.60,-,2361.22,-,-,-,-,-,24570.65
NIFTY,07-Aug-2026,18-Aug-2026,CE,23900.00,769.00,785.00,709.00,746.30,745.00,746.30,91.00,1457.38,43.70,30485.00,1300.00,24570.65
NIFTY,07-Aug-2026,18-Aug-2026,CE,27050.00,-,-,-,0.90,0.90,0.11,-,-,-,260.00,-,24570.65
NIFTY,07-Aug-2026,18-Aug-2026,CE,25750.00,3.20,4.50,2.90,3.30,3.20,3.30,2611.00,43707.64,6.03,107575.00,46800.00,24570.65
