datetime,open,high,low,close,volume
2026-02-06 03:30:00+00:00,25605.8,25630.8,25553.55,25574.35,0
2026-02-06 04:00:00+00:00,25574.6,25574.6,25522.25,25552.35,0
2026-02-06 04:30:00+00:00,25552.35,25560.45,25504.6,25506.65,0
2026-02-06 05:00:00+00:00,25507.1,25525.85,25491.9,25522.5,0
2026-02-06 05:30:00+00:00,25522.75,25598.2,25522.75,25588.55,0
2026-02-06 06:00:00+00:00,25588.5,25644.5,25582.95,25632.25,0
2026-02-06 06:30:00+00:00,25631.35,25657.9,25561.35,25573.75,0
2026-02-06 07:00:00+00:00,25573.25,25573.5,25526.65,25556.7,0
2026-02-06 07:30:00+00:00,25556.15,25576.65,25540.2,25569.0,0
2026-02-06 08:00:00+00:00,25569.4,25626.1,25549.1,25617.6,0
2026-02-06 08:30:00+00:00,25617.4,25633.3,25601.9,25610.9,0
2026-02-06 09:00:00+00:00,25611.1,25671.85,25606.5,25670.3,0
2026-02-06 09:30:00+00:00,25671.2,25703.95,25660.2,25673.6,0
2026-02-09 03:30:00+00:00,25888.7,25922.25,25793.3,25822.9,0
2026-02-09 04:00:00+00:00,25822.0,25835.5,25780.9,25814.1,0
2026-02-09 04:30:00+00:00,25814.8,25831.1,25794.0,25812.8,0
2026-02-09 05:00:00+00:00,25812.3,25866.4,25810.1,25864.6,0
2026-02-09 05:30:00+00:00,25865.2,25870.05,25851.75,25858.4,0
2026-02-09 06:00:00+00:00,25858.85,25866.55,25830.5,25834.75,0
2026-02-09 06:30:00+00:00,25834.3,25861.45,25833.9,25849.3,0
2026-02-09 07:00:00+00:00,25850.55,25850.9,25819.95,25837.25,0
2026-02-09 07:30:00+00:00,25838.4,25860.3,25835.9,25838.15,0
2026-02-09 08:00:00+00:00,25840.35,25857.3,25835.85,25845.65,0
2026-02-09 08:30:00+00:00,25846.1,25864.4,25835.5,25858.7,0
2026-02-09 09:00:00+00:00,25860.05,25861.3,25836.25,25858.05,0
2026-02-09 09:30:00+00:00,25860.5,25875.85,25856.85,25863.3,0
2026-02-10 03:30:00+00:00,25922.65,25934.95,25870.45,25917.6,0
2026-02-10 04:00:00+00:00,25918.2,25962.3,25909.65,25949.5,0
2026-02-10 04:30:00+00:00,25948.7,25971.85,25940.25,25963.4,0
2026-02-10 05:00:00+00:00,25963.5,25978.9,25951.35,25959.6,0
2026-02-10 05:30:00+00:00,25959.3,25969.9,25947.3,25954.05,0
2026-02-10 06:00:00+00:00,25953.95,25963.7,25941.9,25961.75,0
2026-02-10 06:30:00+00:00,25961.9,25969.8,25950.65,25956.8,0
2026-02-10 07:00:00+00:00,25956.4,25989.45,25950.85,25973.45,0
2026-02-10 07:30:00+00:00,25972.45,25982.25,25927.45,25938.1,0
2026-02-10 08:00:00+00:00,25935.05,25936.05,25908.85,25910.85,0
2026-02-10 08:30:00+00:00,25910.35,25943.8,25893.2,25921.3,0
2026-02-10 09:00:00+00:00,25919.15,25944.4,25903.85,25941.45,0
2026-02-10 09:30:00+00:00,25943.0,25967.4,25906.05,25916.8,0
2026-02-11 03:30:00+00:00,25997.45,26009.4,25942.45,25980.6,0
2026-02-11 04:00:00+00:00,25980.1,25984.55,25923.5,25943.05,0
2026-02-11 04:30:00+00:00,25943.2,25967.75,25909.85,25964.8,0
2026-02-11 05:00:00+00:00,25964.2,25981.3,25955.8,25961.25,0
2026-02-11 05:30:00+00:00,25961.95,25971.65,25938.9,25957.7,0
2026-02-11 06:00:00+00:00,25957.7,25979.05,25945.5,25946.75,0
2026-02-11 06:30:00+00:00,25947.55,25960.95,25933.95,25939.7,0
2026-02-11 07:00:00+00:00,25940.05,25945.1,25899.8,25927.4,0
2026-02-11 07:30:00+00:00,25928.2,25945.65,25907.6,25945.05,0
2026-02-11 08:00:00+00:00,25944.7,25969.2,25927.5,25932.6,0
2026-02-11 08:30:00+00:00,25932.05,25964.1,25925.55,25944.85,0
2026-02-11 09:00:00+00:00,25944.4,25955.95,25937.2,25944.95,0
2026-02-11 09:30:00+00:00,25944.65,25970.75,25939.75,25945.35,0
2026-02-12 03:30:00+00:00,25906.7,25906.7,25831.25,25833.75,0
2026-02-12 04:00:00+00:00,25835.8,25872.35,25822.3,25865.1,0
2026-02-12 04:30:00+00:00,25867.5,25882.6,25849.9,25867.2,0
2026-02-12 05:00:00+00:00,25867.35,25876.0,25848.7,25853.6,0
2026-02-12 05:30:00+00:00,25853.6,25861.8,25824.2,25831.1,0
2026-02-12 06:00:00+00:00,25833.9,25836.1,25808.05,25826.3,0
2026-02-12 06:30:00+00:00,25827.05,25839.7,25806.5,25832.15,0
2026-02-12 07:00:00+00:00,25834.9,25859.5,25831.85,25853.75,0
2026-02-12 07:30:00+00:00,25854.55,25879.3,25830.0,25855.45,0
2026-02-12 08:00:00+00:00,25857.4,25862.0,25805.65,25816.95,0
2026-02-12 08:30:00+00:00,25817.2,25837.85,25803.25,25823.7,0
2026-02-12 09:00:00+00:00,25823.4,25829.65,25752.4,25785.5,0
2026-02-12 09:30:00+00:00,25788.95,25840.7,25788.4,25796.15,0
2026-02-13 03:30:00+00:00,25571.15,25630.35,25558.3,25585.7,0
2026-02-13 04:00:00+00:00,25586.1,25586.1,25525.45,25534.45,0
2026-02-13 04:30:00+00:00,25534.65,25553.25,25513.3,25548.95,0
2026-02-13 05:00:00+00:00,25548.55,25584.3,25543.95,25560.5,0
2026-02-13 05:30:00+00:00,25561.9,25563.75,25522.8,25548.8,0
2026-02-13 06:00:00+00:00,25548.85,25561.25,25525.05,25558.85,0
2026-02-13 06:30:00+00:00,25559.0,25604.25,25554.95,25585.3,0
2026-02-13 07:00:00+00:00,25585.8,25606.05,25537.6,25542.05,0
2026-02-13 07:30:00+00:00,25542.95,25586.85,25531.65,25546.65,0
2026-02-13 08:00:00+00:00,25546.9,25553.8,25499.9,25524.5,0
2026-02-13 08:30:00+00:00,25525.15,25539.25,25513.6,25530.95,0
2026-02-13 09:00:00+00:00,25531.15,25534.55,25499.35,25521.25,0
2026-02-13 09:30:00+00:00,25521.95,25527.55,25444.3,25460.55,0
2026-02-16 03:30:00+00:00,25423.6,25493.35,25372.7,25472.25,0
2026-02-16 04:00:00+00:00,25473.55,25528.45,25431.9,25496.65,0
2026-02-16 04:30:00+00:00,25497.5,25561.85,25497.5,25525.85,0
2026-02-16 05:00:00+00:00,25526.2,25540.25,25508.2,25523.05,0
2026-02-16 05:30:00+00:00,25523.55,25547.15,25507.15,25517.8,0
2026-02-16 06:00:00+00:00,25518.1,25531.55,25503.05,25529.1,0
2026-02-16 06:30:00+00:00,25529.1,25576.5,25528.85,25576.05,0
2026-02-16 07:00:00+00:00,25576.4,25590.9,25550.65,25556.85,0
2026-02-16 07:30:00+00:00,25556.6,25584.85,25555.2,25581.7,0
2026-02-16 08:00:00+00:00,25582.4,25594.15,25544.85,25566.0,0
2026-02-16 08:30:00+00:00,25565.0,25624.9,25560.5,25620.4,0
2026-02-16 09:00:00+00:00,25620.75,25669.85,25620.35,25663.45,0
2026-02-16 09:30:00+00:00,25661.55,25697.0,25661.55,25682.45,0
2026-02-17 03:30:00+00:00,25637.95,25664.85,25570.3,25592.8,0
2026-02-17 04:00:00+00:00,25593.1,25675.85,25578.7,25663.15,0
2026-02-17 04:30:00+00:00,25662.25,25728.5,25651.3,25724.4,0
2026-02-17 05:00:00+00:00,25724.1,25730.35,25642.75,25668.1,0
2026-02-17 05:30:00+00:00,25667.75,25695.55,25653.65,25693.6,0
2026-02-17 06:00:00+00:00,25693.95,25745.75,25687.55,25729.45,0
2026-02-17 06:30:00+00:00,25730.0,25753.85,25718.8,25733.65,0
2026-02-17 07:00:00+00:00,25733.9,25760.85,25725.35,25733.8,0
2026-02-17 07:30:00+00:00,25733.6,25764.4,25713.9,25740.1,0
