datetime,open,high,low,close,volume
2026-02-06 03:00:00+00:00,25605.8,25630.8,25553.55,25574.35,0
2026-02-06 04:00:00+00:00,25574.6,25574.6,25504.6,25506.65,0
2026-02-06 05:00:00+00:00,25507.1,25598.2,25491.9,25588.55,0
2026-02-06 06:00:00+00:00,25588.5,25657.9,25561.35,25573.75,0
2026-02-06 07:00:00+00:00,25573.25,25576.65,25526.65,25569.0,0
2026-02-06 08:00:00+00:00,25569.4,25633.3,25549.1,25610.9,0
2026-02-06 09:00:00+00:00,25611.1,25703.95,25606.5,25673.6,0
2026-02-09 03:00:00+00:00,25888.7,25922.25,25793.3,25822.9,0
2026-02-09 04:00:00+00:00,25822.0,25835.5,25780.9,25812.8,0
2026-02-09 05:00:00+00:00,25812.3,25870.05,25810.1,25858.4,0
2026-02-09 06:00:00+00:00,25858.85,25866.55,25830.5,25849.3,0
2026-02-09 07:00:00+00:00,25850.55,25860.3,25819.95,25838.15,0
2026-02-09 08:00:00+00:00,25840.35,25864.4,25835.5,25858.7,0
2026-02-09 09:00:00+00:00,25860.05,25875.85,25836.25,25863.3,0
2026-02-10 03:00:00+00:00,25922.65,25934.95,25870.45,25917.6,0
2026-02-10 04:00:00+00:00,25918.2,25971.85,25909.65,25963.4,0
2026-02-10 05:00:00+00:00,25963.5,25978.9,25947.3,25954.05,0
2026-02-10 06:00:00+00:00,25953.95,25969.8,25941.9,25956.8,0
2026-02-10 07:00:00+00:00,25956.4,25989.45,25927.45,25938.1,0
2026-02-10 08:00:00+00:00,25935.05,25943.8,25893.2,25921.3,0
2026-02-10 09:00:00+00:00,25919.15,25967.4,25903.85,25916.8,0
2026-02-11 03:00:00+00:00,25997.45,26009.4,25942.45,25980.6,0
2026-02-11 04:00:00+00:00,25980.1,25984.55,25909.85,25964.8,0
2026-02-11 05:00:00+00:00,25964.2,25981.3,25938.9,25957.7,0
2026-02-11 06:00:00+00:00,25957.7,25979.05,25933.95,25939.7,0
2026-02-11 07:00:00+00:00,25940.05,25945.65,25899.8,25945.05,0
2026-02-11 08:00:00+00:00,25944.7,25969.2,25925.55,25944.85,0
2026-02-11 09:00:00+00:00,25944.4,25970.75,25937.2,25945.35,0
2026-02-12 03:00:00+00:00,25906.7,25906.7,25831.25,25833.75,0
2026-02-12 04:00:00+00:00,25835.8,25882.6,25822.3,25867.2,0
2026-02-12 05:00:00+00:00,25867.35,25876.0,25824.2,25831.1,0
2026-02-12 06:00:00+00:00,25833.9,25839.7,25806.5,25832.15,0
2026-02-12 07:00:00+00:00,25834.9,25879.3,25830.0,25855.45,0
2026-02-12 08:00:00+00:00,25857.4,25862.0,25803.25,25823.7,0
2026-02-12 09:00:00+00:00,25823.4,25840.7,25752.4,25796.15,0
2026-02-13 03:00:00+00:00,25571.15,25630.35,25558.3,25585.7,0
2026-02-13 04:00:00+00:00,25586.1,25586.1,25513.3,25548.95,0
