timestamp,symbol,expiry,strike,option_type,last_price,change,percent_change,volume,oi,oi_change,iv,bid_price,ask_price,bid_quantity,ask_quantity,total_buy_quantity,total_sell_quantity,underlying_value,source
2026-08-21 10:22:58.975064,NIFTY,2026-08-25,22050,PE,0.95,-0.25,-20.833333333333332,1885,1523,286,34.13,0.9,0.95,16900,30745,1859650,98670,24238.65,nse
2026-08-21 10:22:58.975064,NIFTY,2026-08-25,22100,CE,0.0,0.0,0.0,0,0,0,0.0,1961.4,2251.85,780,780,6890,6890,24238.65,nse
2026-08-21 10:22:58.975064,NIFTY,2026-08-25,22100,PE,0.95,-0.2,-17.391304347826086,4183,9659,-82,33.21,0.9,0.95,101400,67665,2813460,289055,24238.65,nse
2026-08-21 10:22:58.975064,NIFTY,2026-08-25,22150,CE,0.0,0.0,0.0,0,2,0,0.0,2076.2,2159.0,780,780,7020,7020,24238.65,nse
2026-08-21 10:22:58.975064,NIFTY,2026-08-25,22150,PE,1.05,-0.2,-16.0,7023,5343,1985,32.84,1.0,1.05,65390,59735,2270385,143585,24238.65,nse
2026-08-21 10:22:58.975064,NIFTY,2026-08-25,22200,CE,0.0,0.0,0.0,0,6,0,46.36,2046.9,2099.45,780,65,7020,6110,24238.65,nse
2026-08-21 10:22:58.975064,NIFTY,2026-08-25,22200,PE,1.05,-0.2,-16.0,3532,11526,424,32.28,1.0,1.05,43290,28275,2335580,124020,24238.65,nse
2026-08-21 10:22:58.975064,NIFTY,2026-08-25,22250,CE,0.0,0.0,0.0,0,1,0,0.0,1889.6,2072.75,780,780,7020,7020,24238.65,nse
2026-08-21 10:22:58.975064,NIFTY,2026-08-25,22250,PE,1.1,-0.3,-21.428571428571427,4420,4325,647,31.85,1.1,1.15,41665,48880,2512250,163605,24238.65,nse
2026-08-21 10:22:58.975064,NIFTY,2026-08-25,22300,CE,0.0,0.0,0.0,0,28,0,58.98,1951.85,1982.4,780,130,7085,6240,24238.65,nse
2026-08-21 10:22:58.975064,NIFTY,2026-08-25,22300,PE,1.15,-0.25,-17.857142857142858,7391,10467,-95,31.25,1.1,1.15,69485,53170,1946620,174915,24238.65,nse
2026-08-21 10:22:58.975064,NIFTY,2026-08-25,22350,CE,0.0,0.0,0.0,0,2,0,0.0,1887.1,1953.35,780,780,6890,7020,24238.65,nse
2026-08-21 10:22:58.975064,NIFTY,2026-08-25,22350,PE,1.2,-0.25,-17.24137931034483,4303,3904,-128,30.51,1.15,1.2,75725,37180,1733030,185965,24238.65,nse
2026-08-21 10:22:58.975064,NIFTY,2026-08-25,22400,CE,0.0,0.0,0.0,0,31,0,0.0,1870.95,1899.25,65,65,4615,6240,24238.65,nse
2026-08-21 10:22:58.975064,NIFTY,2026-08-25,22400,PE,1.2,-0.25,-17.24137931034483,7334,6242,394,29.9,1.2,1.25,97370,45630,2534090,184080,24238.65,nse
2026-08-21 10:22:58.975064,NIFTY,2026-08-25,22450,CE,0.0,0.0,0.0,0,1,0,0.0,1818.6,1884.1,65,845,6240,6955,24238.65,nse
2026-08-21 10:22:58.975064,NIFTY,2026-08-25,22450,PE,1.25,-0.25,-16.666666666666668,2497,4424,109,29.28,1.25,1.3,63050,45045,2010125,190190,24238.65,nse
2026-08-21 10:22:58.975064,NIFTY,2026-08-25,22500,CE,1781.15,-14.4,-0.8019826794018546,69,3791,-44,44.81,1781.55,1782.9,65,130,9490,10530,24238.65,nse
2026-08-21 10:22:58.975064,NIFTY,2026-08-25,22500,PE,1.3,-0.25,-16.129032258064516,62490,76581,1851,28.53,1.25,1.3,183235,104000,4565925,841425,24238.65,nse
2026-08-21 10:22:58.975064,NIFTY,2026-08-25,22550,CE,1719.0,-0.55,-0.031985112384053965,2,22,-2,36.68,1729.5,1746.85,195,65,6500,6240,24238.65,nse
2026-08-21 10:22:58.975064,NIFTY,2026-08-25,22550,PE,1.3,-0.3,-18.75,8532,5129,925,28.02,1.3,1.35,86060,63700,2156895,246740,24238.65,nse
2026-08-21 10:22:58.975064,NIFTY,2026-08-25,22600,CE,1684.25,0.0,0.0,11,46,0,42.67,1674.45,1698.95,325,65,6435,6435,24238.65,nse
2026-08-21 10:22:58.975064,NIFTY,2026-08-25,22600,PE,1.35,-0.2,-12.903225806451612,11922,6149,-592,27.37,1.3,1.35,102895,33670,2034175,251940,24238.65,nse
2026-08-21 10:22:58.975064,NIFTY,2026-08-25,22650,CE,0.0,0.0,0.0,0,33,0,0.0,1622.35,1648.3,130,65,6305,6240,24238.65,nse
2026-08-21 10:22:58.975064,NIFTY,2026-08-25,22650,PE,1.4,-0.25,-15.151515151515152,2877,1969,198,26.61,1.4,1.45,15080,34450,1129830,126035,24238.65,nse
2026-08-21 10:22:58.975064,NIFTY,2026-08-25,22700,CE,1580.0,-17.9,-1.1202202891294823,7,78,0,38.95,1577.7,1590.8,130,65,6630,6175,24238.65,nse
2026-08-21 10:22:58.975064,NIFTY,2026-08-25,22700,PE,1.45,-0.1,-6.451612903225806,26855,19426,-4411,25.85,1.4,1.45,157625,87490,4550650,464035,24238.65,nse
2026-08-21 10:22:58.975064,NIFTY,2026-08-25,22750,CE,0.0,0.0,0.0,0,7,0,33.55,1522.7,1547.95,130,65,6370,6240,24238.65,nse
2026-08-21 10:22:58.975064,NIFTY,2026-08-25,22750,PE,1.5,-0.3,-16.666666666666668,8108,6439,1682,25.29,1.45,1.5,108940,28080,2267395,269165,24238.65,nse
2026-08-21 10:22:58.975064,NIFTY,2026-08-25,22800,CE,0.0,0.0,0.0,0,78,0,43.63,1471.5,1498.15,65,65,7995,7995,24238.65,nse
