datetime,open,high,low,close,volume
2026-06-29 03:45:00+00:00,24061.75,24096.5,24032.35,24087.7,0
2026-06-29 03:46:00+00:00,24090.45,24110.75,24089.75,24105.25,0
2026-06-29 03:47:00+00:00,24105.9,24106.0,24085.85,24086.95,0
2026-06-29 03:48:00+00:00,24088.15,24102.7,24087.2,24100.3,0
2026-06-29 03:49:00+00:00,24100.85,24103.35,24083.7,24084.05,0
2026-06-29 03:50:00+00:00,24086.2,24100.0,24084.45,24098.2,0
2026-06-29 03:51:00+00:00,24099.15,24105.2,24094.4,24103.55,0
2026-06-29 03:52:00+00:00,24104.5,24109.6,24100.9,24102.05,0
2026-06-29 03:53:00+00:00,24102.55,24104.85,24093.15,24095.75,0
2026-06-29 03:54:00+00:00,24096.45,24097.9,24078.3,24080.05,0
2026-06-29 03:55:00+00:00,24081.4,24081.4,24068.3,24076.4,0
2026-06-29 03:56:00+00:00,24077.8,24077.8,24060.2,24060.2,0
2026-06-29 03:57:00+00:00,24062.35,24065.4,24051.55,24065.1,0
2026-06-29 03:58:00+00:00,24066.7,24072.8,24062.15,24064.3,0
2026-06-29 03:59:00+00:00,24065.1,24073.85,24063.9,24064.8,0
2026-06-29 04:00:00+00:00,24065.7,24065.7,24048.65,24049.8,0
2026-06-29 04:01:00+00:00,24050.0,24059.2,24041.7,24042.85,0
2026-06-29 04:02:00+00:00,24043.45,24048.25,24028.3,24042.0,0
2026-06-29 04:03:00+00:00,24044.1,24046.25,24034.3,24035.15,0
2026-06-29 04:04:00+00:00,24036.4,24036.45,24016.8,24017.1,0
2026-06-29 04:05:00+00:00,24018.7,24018.7,24005.45,24006.15,0
2026-06-29 04:06:00+00:00,24008.15,24018.4,24007.7,24017.95,0
2026-06-29 04:07:00+00:00,24018.85,24033.8,24017.6,24032.65,0
2026-06-29 04:08:00+00:00,24034.2,24048.15,24031.0,24048.15,0
2026-06-29 04:09:00+00:00,24049.55,24063.1,24049.05,24060.1,0
2026-06-29 04:10:00+00:00,24060.55,24074.55,24056.55,24073.65,0
2026-06-29 04:11:00+00:00,24074.45,24081.45,24068.3,24073.4,0
2026-06-29 04:12:00+00:00,24073.15,24079.15,24067.0,24078.75,0
2026-06-29 04:13:00+00:00,24079.45,24084.25,24076.85,24082.4,0
2026-06-29 04:14:00+00:00,24082.65,24094.7,24080.85,24094.0,0
2026-06-29 04:15:00+00:00,24092.7,24095.25,24083.3,24084.95,0
2026-06-29 04:16:00+00:00,24085.6,24086.35,24078.3,24081.85,0
2026-06-29 04:17:00+00:00,24082.9,24089.55,24081.85,24087.85,0
2026-06-29 04:18:00+00:00,24088.7,24094.65,24086.1,24092.7,0
2026-06-29 04:19:00+00:00,24093.2,24095.05,24081.4,24082.7,0
2026-06-29 04:20:00+00:00,24083.75,24085.9,24081.0,24085.4,0
2026-06-29 04:21:00+00:00,24086.25,24086.25,24073.85,24074.3,0
2026-06-29 04:22:00+00:00,24075.2,24076.8,24070.2,24075.45,0
2026-06-29 04:23:00+00:00,24076.65,24080.25,24073.6,24075.0,0
2026-06-29 04:24:00+00:00,24075.85,24079.55,24069.45,24072.15,0
